open_time,open,high,low,close,volume,status
1667736000000,21247.1,21261.6,21194.2,21210.5,13523.324,1
1667743200000,21210.4,21278.9,21180.0,21233.7,21838.137,1
1667750400000,21233.8,21272.3,21144.8,21237.0,27782.853,1
1667757600000,21237.1,21239.9,21159.5,21186.7,16871.411,1
1667764800000,21186.6,21202.0,21100.0,21117.3,18358.1,1
1667772000000,21117.3,21167.8,20863.3,20900.0,65622.261,0
1667779200000,20900.0,20990.7,20811.0,20979.2,59793.251,0
1667786400000,20979.2,21062.6,20871.2,20907.6,40032.609,0
1667793600000,20907.6,20913.8,20814.7,20851.6,29117.736,0
1667800800000,20851.5,20900.0,20606.0,20628.1,80224.892,0
1667808000000,20628.1,20748.8,20563.2,20673.2,65257.951,0
1667815200000,20673.2,20808.4,20672.4,20724.4,29035.797,0
1667822400000,20724.4,20793.2,20685.5,20712.8,32615.842,0
1667829600000,20712.9,20767.0,20620.0,20756.2,52544.679,0
1667836800000,20756.3,20795.0,20641.6,20696.2,33047.79,0
1667844000000,20696.3,20885.6,20678.5,20836.4,35585.987,0
1667851200000,20836.4,20878.4,20602.3,20673.4,33792.372,0
1667858400000,20673.4,20673.4,20374.0,20578.6,63359.41,0
1667865600000,20578.5,20628.8,20488.2,20618.3,31741.268,0
1667872800000,20618.2,20664.4,20111.1,20140.6,102502.603,-1
1667880000000,20140.6,20235.0,19335.0,19690.9,231896.114,-1
1667887200000,19690.9,19845.0,19635.3,19785.6,62611.483,-1
1667894400000,19785.6,19787.7,19652.4,19765.7,41952.69,-1
1667901600000,19765.6,19777.2,19560.0,19689.0,43206.685,-1
1667908800000,19688.9,19737.5,19522.6,19547.1,43343.878,-1
1667916000000,19547.0,19639.9,19200.0,19513.8,164701.08,-1
1667923200000,19513.8,20685.0,19310.4,19327.7,412541.66,-1
1667930400000,19327.7,19531.6,16830.0,18238.0,583570.194,-1
1667937600000,18238.0,18710.6,17798.8,18691.7,236619.894,-1
